ticker,sector,why_watching,short_thesis,date_added
GME,Consumer Discretionary,Classic meme stock with high retail interest,Overvalued legacy gaming retailer with secular decline,2024-01-15
BBBY,Consumer Discretionary,Post-bankruptcy volatility plays,No fundamental recovery path,2024-01-15
BYND,Consumer Staples,Plant-based hype unwinding,Margins collapsed and competition increased,2024-02-01
CVNA,Consumer Discretionary,Used car bubble,Rising interest rates kill auto financing margins,2024-02-01
COIN,Financials,Crypto correlation play,Revenue tied to speculation cycles,2024-02-10
RIVN,Consumer Discretionary,EV production miss risk,Cash burn rate unsustainable at current volumes,2024-02-10
RBLX,Communication Services,Metaverse multiple compression,User growth decelerating post-covid,2024-03-01
UPST,Financials,Fintech credit risk in rate hike cycle,Default rates rising faster than model predicts,2024-03-01
PLUG,Energy,Hydrogen hype vs reality,No path to profitability before cash runs out,2024-03-15
NKLA,Industrials,EV fraud risk,Multiple SEC investigations and delivery misses,2024-03-15
